anio,codigo_delito_snic_id,codigo_delito_snic_nombre,cantidad_hechos,cantidad_victimas,cantidad_victimas_masc,cantidad_victimas_fem,cantidad_victimas_sd,tasa_hechos,tasa_victimas,tasa_victimas_masc,tasa_victimas_fem
2006,12,Delitos contra el estado civil,168,,,,,.42931366,,,
2006,13,Amenazas,136351,,,,,348.43658,,,
2006,14,Otros delitos contra la libertad,15810,15810,0,0,15810,40.401482,40.401482,0,0
2006,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),318613,,,,,814.19592,,,
2006,16,Tentativas de robo (excluye las agravadas por el res. de lesiones y/o muerte),21061,,,,,53.820091,,,
2006,17,Robos agravados por el resultado de lesiones y/o muertes ,12605,,,,,32.211304,,,
2006,18,Tentativas de robo agravado por el resultado de lesiones y/o muertes,1761,,,,,4.5001273,,,
2006,19,Hurtos,280619,,,,,717.10461,,,
2006,2,Homicidios dolosos en grado de tentativa,836,894,631,160,103,2.1363466,2.2845621,3.2953863,.80063146
2006,20,Tentativas de hurto,11422,,,,,29.188219,,,
2006,21,Otros delitos contra la propiedad,83264,,,,,212.77603,,,
2006,22,Delitos contra la seguridad pública,5614,,,,,14.346231,,,
2006,23,Delitos contra el orden público,1457,,,,,3.723274,,,
2006,24,Delitos contra la seguridad de la nación,25,,,,,.063885964,,,
2006,25,Delitos contra los poderes públicos y el orden constitucional,184,,,,,.47020069,,,
2006,26,Delitos contra la administración pública,14740,,,,,37.667164,,,
2006,27,Delitos contra la fe pública,5039,,,,,12.876855,,,
2006,28,Ley 23.737 (estupefacientes),24552,,,,,62.741127,,,
2006,29,Otros delitos previstos en leyes especiales,26042,,,,,66.548729,,,
2006,3,Muertes en accidentes viales,3695,4326,2982,1011,333,9.4423456,11.054827,15.573442,5.05899
2006,30,Contravenciones,145785,,,,,372.54462,,,
2006,31,Suicidios (consumados),2746,2746,0,0,2746,7.7079339,7.7079339,0,0
2006,4,Homicidios culposos por otros hechos,743,797,467,184,146,1.8986908,2.0366845,2.4388993,.92072618
2006,5,Lesiones dolosas,143482,150367,70691,55364,24312,366.65942,384.25363,369.1825,277.03851
2006,6,Lesiones culposas en Accidentes Viales,83888,96221,53947,28597,13677,214.37062,245.88686,281.73724,143.09785
2006,7,Lesiones culposas por otros hechos,11483,11814,5151,3120,3543,29.344101,30.189951,26.901005,15.612313
2006,8,Otros delitos contra las personas,17544,18381,8351,7018,3012,44.832615,46.971516,43.612949,35.117699
2006,9,Delitos contra el honor,358,373,79,247,47,.91484702,.95317858,.41257608,1.2359748
2007,1,Homicidios dolosos,2071,2139,1779,315,45,5.237751,5.4097295,9.1970501,1.5596611
2007,10,Abusos sexuales con acceso carnal (violaciones),3281,3352,317,2173,862,8.2979536,8.477519,1.6388223,10.759186
2007,11,Otros delitos contra la integridad sexual,7283,7486,721,4557,2208,18.419382,18.932789,3.7274163,22.563097
2007,12,Delitos contra el estado civil,90,,,,,.22761835,,,
2007,13,Amenazas,133472,,,,,337.56308,,,
2007,14,Otros delitos contra la libertad,25395,25395,0,0,25395,64.226311,64.226311,0,0
2007,15,Robos (excluye los agravados por el resultado de lesiones y/o muertes),331723,,,,,838.95825,,,
